cliente_id,data_cadastro,plano,tempo_como_cliente_meses,numero_produtos,tickets_abertos_ultimo_mes,tickets_resolvidos,nps_score,uso_medio_mensal_horas,atraso_pagamento_dias,desconto_recebido,canal_aquisicao,regiao,churn
CLI00019,2025-11-20,Starter,1,1,1,0,72,6.12,10,1,Google Ads,Sul,1
CLI00020,2025-01-20,Starter,11,2,4,3,35,11.86,5,0,Inbound,Centro-Oeste,1
CLI00021,2022-05-07,Pro,44,2,0,0,82,21.9,1,0,Indicação,Sudeste,0
CLI00022,2025-09-08,Starter,3,3,3,0,58,12.31,10,1,Indicação,Norte,1
CLI00023,2024-11-20,Enterprise,13,2,3,2,33,8.5,9,1,Inbound,Sudeste,1
CLI00024,2023-04-28,Starter,32,5,0,0,85,22.62,5,0,Indicação,Sudeste,0
CLI00025,2022-09-11,Enterprise,40,2,0,0,91,41.11,6,0,Indicação,Sudeste,0
CLI00026,2023-02-08,Pro,35,5,0,0,66,31.12,6,0,Indicação,Norte,0
CLI00027,2024-07-28,Pro,17,3,2,1,53,6.29,22,0,Inbound,Nordeste,1
CLI00028,2024-06-09,Enterprise,19,4,0,0,83,37.94,3,0,Evento,Nordeste,0
CLI00029,2023-09-30,Pro,27,2,1,0,68,8.06,3,0,Inbound,Norte,0
CLI00030,2022-11-29,Starter,37,4,1,0,61,33.21,3,0,Inbound,Sudeste,0
CLI00031,2023-01-30,Starter,35,3,1,1,93,20.1,4,0,Indicação,Sudeste,0
CLI00032,2021-08-06,Enterprise,53,4,3,2,51,21.95,5,0,Indicação,Sul,0
CLI00033,2023-05-19,Starter,31,2,3,2,51,40.06,1,0,Indicação,Sul,0
CLI00034,2025-05-24,Pro,7,2,5,3,60,4.92,10,0,LinkedIn,Sudeste,1
CLI00035,2021-11-06,Pro,50,2,3,2,61,46.92,1,1,Inbound,Sul,0
CLI00036,2025-12-01,Pro,1,3,3,1,31,11.25,4,1,Inbound,Nordeste,1
CLI00037,2023-10-28,Pro,26,1,1,1,67,36.34,1,0,Inbound,Nordeste,0
CLI00038,2021-10-27,Pro,50,3,2,2,49,28.36,5,0,Indicação,Sul,0
CLI00039,2021-08-09,Starter,53,3,3,3,86,44.05,2,0,Inbound,Sudeste,0
CLI00040,2023-05-26,Enterprise,31,1,1,1,75,32.26,2,1,Indicação,Sudeste,0
CLI00041,2024-10-30,Pro,14,1,7,3,27,4.28,9,0,Google Ads,Nordeste,1
CLI00042,2025-11-11,Starter,1,1,3,2,15,10.96,8,1,LinkedIn,Nordeste,1
CLI00043,2024-08-18,Pro,16,1,8,3,51,11.88,9,1,Google Ads,Sul,1
CLI00044,2022-09-28,Starter,39,2,0,0,65,36.51,5,0,Indicação,Sudeste,0
CLI00045,2025-03-24,Starter,9,2,7,1,29,13.85,18,0,Google Ads,Centro-Oeste,1
CLI00046,2023-01-07,Starter,36,2,0,0,65,26.99,1,1,LinkedIn,Centro-Oeste,0
CLI00047,2022-06-06,Starter,43,2,0,0,83,19.66,2,0,Indicação,Sudeste,0
CLI00048,2024-06-23,Pro,18,5,0,0,60,36.43,2,1,LinkedIn,Sul,0
CLI00049,2022-01-04,Enterprise,48,4,2,2,85,41.74,1,0,Google Ads,Sudeste,0
CLI00050,2023-06-14,Starter,31,1,1,1,83,22.38,0,0,Evento,Sul,0
CLI00051,2024-02-19,Enterprise,22,2,0,0,43,16.46,1,0,Evento,Sudeste,0
CLI00052,2021-12-20,Pro,49,4,0,0,81,32.56,1,0,Google Ads,Sudeste,0
CLI00053,2025-05-01,Starter,8,4,4,1,9,14.11,7,1,Indicação,Nordeste,1
CLI00054,2022-08-26,Enterprise,40,3,3,3,96,51.14,0,0,LinkedIn,Sudeste,0
CLI00055,2024-03-07,Starter,22,3,1,1,64,40.57,5,0,LinkedIn,Sudeste,0
CLI00056,2023-11-03,Starter,26,3,0,0,92,31.27,1,0,Evento,Norte,0
CLI00057,2024-03-04,Pro,22,1,5,1,37,18.75,3,0,Google Ads,Sudeste,1
CLI00058,2021-08-22,Starter,53,3,1,1,73,30.66,1,0,Indicação,Nordeste,0
CLI00059,2023-06-25,Pro,30,2,1,1,78,16.46,1,1,Inbound,Sudeste,0
CLI00060,2021-04-29,Starter,56,4,1,1,57,56.64,4,0,LinkedIn,Centro-Oeste,0
CLI00061,2025-01-16,Pro,11,2,3,2,26,9.59,20,0,Evento,Sul,1
CLI00062,2024-01-01,Pro,24,4,2,2,72,31.15,3,0,Inbound,Sul,0
CLI00063,2024-10-16,Pro,14,1,2,1,73,44.86,2,0,LinkedIn,Sudeste,0
CLI00064,2022-08-30,Starter,40,2,1,1,61,30.17,1,0,Indicação,Nordeste,0
CLI00065,2021-11-07,Enterprise,50,4,0,0,70,31.05,2,0,Indicação,Norte,0
CLI00066,2025-04-13,Starter,8,3,1,1,50,17.15,5,0,Inbound,Sudeste,0
CLI00067,2022-05-28,Starter,43,5,0,0,88,44.62,1,1,Indicação,Sul,0
CLI00068,2025-04-06,Starter,8,2,5,2,48,9.66,3,1,LinkedIn,Sul,1
CLI00069,2022-12-30,Starter,36,1,0,0,62,17.26,2,0,Evento,Sul,0
CLI00070,2023-06-07,Starter,31,4,3,3,65,25.21,0,0,Indicação,Sul,0
CLI00071,2020-01-14,Pro,72,2,1,1,72,50.54,2,0,LinkedIn,Nordeste,0
CLI00072,2024-05-10,Starter,20,1,1,1,73,37.01,3,0,LinkedIn,Sudeste,0
CLI00073,2024-07-06,Enterprise,18,3,2,2,49,40.49,2,1,LinkedIn,Sul,0
CLI00074,2022-09-15,Pro,40,1,0,0,60,23.04,1,1,Indicação,Nordeste,0
CLI00075,2023-06-17,Starter,30,3,3,3,70,43.15,3,1,Inbound,Sul,0
CLI00076,2024-11-08,Starter,13,2,3,2,56,20.17,20,0,Indicação,Nordeste,1
CLI00077,2024-01-27,Pro,23,2,2,2,68,47.61,0,0,Google Ads,Norte,0
CLI00078,2022-03-13,Pro,46,3,0,0,62,33.85,2,0,LinkedIn,Nordeste,0
CLI00079,2023-02-13,Pro,35,2,0,0,88,26.93,2,0,LinkedIn,Sul,0
CLI00080,2024-08-13,Starter,16,3,2,2,73,27.56,1,0,LinkedIn,Sul,0
CLI00081,2024-10-07,Pro,15,2,1,1,85,24.87,5,0,Indicação,Nordeste,0
CLI00082,2024-07-30,Pro,17,3,0,0,67,37.09,1,1,Google Ads,Nordeste,0
CLI00083,2024-07-24,Starter,17,4,8,2,36,14.44,18,0,Google Ads,Norte,1
CLI00084,2023-09-30,Enterprise,27,3,0,0,87,34.12,3,0,Indicação,Nordeste,0
CLI00085,2025-08-10,Pro,4,1,1,1,59,13.09,1,0,Indicação,Sudeste,0
CLI00086,2024-09-18,Pro,15,1,8,1,25,3.9,12,0,Google Ads,Sudeste,1
CLI00087,2024-12-03,Starter,13,2,2,1,53,24.58,2,0,Indicação,Norte,0
CLI00088,2024-09-11,Pro,15,2,2,0,34,6.5,2,1,Inbound,Sul,1
CLI00089,2024-06-25,Enterprise,18,2,12,4,33,0.5,1,0,Google Ads,Centro-Oeste,1
CLI00090,2024-03-29,Pro,21,1,1,1,53,4.11,45,0,Evento,Centro-Oeste,1
CLI00091,2025-04-28,Starter,8,4,2,2,75,27.87,8,0,Inbound,Sudeste,0
CLI00092,2023-09-14,Pro,27,4,1,1,52,38.75,8,1,Google Ads,Nordeste,0
CLI00093,2023-07-24,Pro,29,4,0,0,56,15.81,3,1,Indicação,Nordeste,0
CLI00094,2025-03-20,Enterprise,9,2,1,1,83,7.49,1,0,Inbound,Sudeste,0
CLI00095,2021-08-31,Enterprise,52,2,1,1,71,17.66,0,0,Indicação,Sul,0
CLI00096,2024-02-15,Pro,22,2,8,5,15,11.55,3,0,Google Ads,Sudeste,1
CLI00097,2023-09-23,Enterprise,27,1,1,0,75,27.57,0,1,Inbound,Sul,0
CLI00098,2023-07-07,Pro,30,3,1,1,81,16.31,4,0,Google Ads,Sudeste,0
CLI00099,2024-12-30,Pro,12,2,4,2,13,14.17,2,0,LinkedIn,Sudeste,1
CLI00100,2025-06-14,Starter,6,1,5,1,43,13.25,17,1,Indicação,Sudeste,1
CLI00101,2025-11-04,Starter,1,3,4,1,40,19.16,4,1,Inbound,Norte,1
CLI00102,2021-01-29,Pro,59,2,0,0,100,26.3,1,1,Inbound,Nordeste,0
CLI00103,2021-07-15,Starter,54,1,1,1,73,38.1,1,1,Google Ads,Sul,0
CLI00104,2022-04-10,Pro,45,3,0,0,79,28.08,2,0,Inbound,Nordeste,0
CLI00105,2023-03-21,Enterprise,33,4,3,2,72,16.8,1,0,Inbound,Sul,0
CLI00106,2023-05-21,Enterprise,31,5,3,1,75,46.72,2,1,Indicação,Sudeste,0
CLI00107,2020-12-24,Starter,61,2,1,1,78,29.14,0,0,Inbound,Sudeste,0
CLI00108,2022-08-28,Starter,40,1,2,2,83,23.44,2,0,Indicação,Nordeste,0
CLI00109,2022-12-28,Pro,36,4,2,1,47,16.45,5,1,Inbound,Sul,0
CLI00110,2023-05-22,Pro,31,2,1,1,71,29.04,3,0,Inbound,Sul,0
CLI00111,2023-04-08,Pro,33,2,0,0,80,36.01,2,0,Google Ads,Nordeste,0
CLI00112,2021-08-18,Pro,53,1,1,1,64,38.71,2,1,LinkedIn,Nordeste,0
CLI00113,2025-04-11,Pro,8,3,2,2,87,23.0,5,0,LinkedIn,Nordeste,0
CLI00114,2023-11-14,Starter,25,3,3,3,68,39.35,2,0,Evento,Sudeste,0
CLI00115,2022-03-02,Pro,46,1,1,1,89,20.7,1,0,Indicação,Sudeste,0
CLI00116,2025-07-13,Pro,5,1,3,3,25,6.62,27,0,Google Ads,Centro-Oeste,1
CLI00117,2025-11-29,Starter,1,3,4,3,0,4.84,12,1,Inbound,Norte,1
CLI00118,2023-08-19,Starter,28,2,3,2,70,41.55,5,0,Inbound,Sudeste,0
CLI00119,2023-01-23,Starter,35,2,3,2,78,37.36,1,0,LinkedIn,Sudeste,0
CLI00120,2021-01-14,Pro,60,2,1,1,86,22.08,3,0,LinkedIn,Norte,0
CLI00121,2024-09-11,Starter,15,2,4,3,59,35.59,7,0,Inbound,Nordeste,0
CLI00122,2025-09-06,Starter,3,1,3,3,39,6.56,25,1,LinkedIn,Nordeste,1
CLI00123,2025-02-23,Starter,10,1,3,1,5,2.16,13,1,Google Ads,Sudeste,1
CLI00124,2020-04-29,Starter,69,2,0,0,59,14.54,6,0,Indicação,Norte,0
CLI00125,2025-02-27,Starter,10,1,2,1,46,9.06,18,0,LinkedIn,Nordeste,1
CLI00126,2022-06-02,Starter,43,4,3,2,75,47.28,2,1,Indicação,Nordeste,0
CLI00127,2023-06-14,Pro,31,2,1,0,100,30.27,1,0,Google Ads,Sul,0
CLI00128,2024-01-17,Pro,23,2,2,1,71,22.15,0,1,Inbound,Sudeste,0
CLI00129,2024-09-15,Pro,15,3,4,0,29,7.21,3,0,Indicação,Sudeste,1
CLI00130,2025-06-14,Starter,6,1,4,0,30,5.75,3,1,Google Ads,Sudeste,1
CLI00131,2025-01-22,Pro,11,2,5,4,32,16.54,19,0,LinkedIn,Sudeste,1
CLI00132,2025-03-28,Pro,9,2,4,1,68,37.46,3,0,Indicação,Sudeste,0
CLI00133,2023-08-10,Pro,29,1,3,3,66,29.05,2,0,LinkedIn,Centro-Oeste,0
CLI00134,2022-11-02,Starter,38,2,1,1,82,29.92,2,0,Evento,Centro-Oeste,0
CLI00135,2024-05-01,Starter,20,3,0,0,71,29.27,1,0,LinkedIn,Nordeste,0
CLI00136,2023-11-01,Pro,26,3,4,4,63,12.12,1,1,Inbound,Nordeste,0
CLI00137,2022-09-06,Starter,40,3,1,1,82,32.88,1,1,Indicação,Sudeste,0
CLI00138,2021-07-04,Pro,54,3,0,0,82,23.93,3,0,Indicação,Sudeste,0
CLI00139,2024-04-08,Pro,21,1,2,2,88,27.65,1,0,Indicação,Sudeste,0
CLI00140,2024-08-18,Starter,16,1,2,2,72,68.99,2,0,LinkedIn,Nordeste,0
CLI00141,2023-07-02,Pro,30,1,0,0,79,21.77,1,0,LinkedIn,Sudeste,0
CLI00142,2024-12-11,Enterprise,12,5,1,0,78,18.49,0,0,Indicação,Norte,0
CLI00143,2024-03-20,Enterprise,21,2,0,0,79,7.9,1,1,Inbound,Sudeste,0
CLI00144,2022-10-23,Starter,38,1,1,0,88,40.04,3,0,LinkedIn,Nordeste,0
CLI00145,2025-11-02,Pro,1,3,3,3,74,40.76,5,0,Google Ads,Centro-Oeste,0
CLI00146,2023-06-30,Pro,30,3,3,2,82,66.98,0,0,Inbound,Nordeste,0
CLI00147,2022-02-22,Starter,46,5,0,0,94,44.52,3,1,Evento,Sul,0
CLI00148,2024-06-06,Pro,19,3,5,5,70,26.23,3,0,Inbound,Nordeste,0
CLI00149,2021-06-03,Starter,55,3,2,2,65,25.75,1,1,Google Ads,Sudeste,0
CLI00150,2024-08-22,Starter,16,2,2,1,27,4.21,25,0,Google Ads,Sudeste,1
CLI00151,2025-05-19,Starter,7,2,5,1,29,5.7,29,1,Google Ads,Sudeste,1
CLI00152,2023-05-10,Pro,32,4,0,0,100,34.7,0,0,LinkedIn,Sul,0
CLI00153,2023-04-26,Pro,32,2,0,0,61,64.26,1,1,LinkedIn,Norte,0
CLI00154,2022-01-06,Starter,48,4,2,2,95,42.24,3,1,Indicação,Norte,0
CLI00155,2025-11-04,Starter,1,2,1,1,61,6.19,3,0,Inbound,Sul,0
CLI00156,2024-07-26,Starter,17,4,1,1,100,34.88,2,0,Indicação,Sudeste,0
CLI00157,2023-08-14,Enterprise,29,1,2,2,86,6.77,0,0,Indicação,Sul,0
CLI00158,2022-09-29,Starter,39,1,1,1,83,13.08,7,0,Inbound,Nordeste,0
CLI00159,2023-01-03,Pro,36,2,2,2,64,48.02,2,0,Google Ads,Sul,0
CLI00160,2024-01-11,Starter,24,1,4,1,41,15.79,22,0,Inbound,Nordeste,1
CLI00161,2023-01-27,Pro,35,3,1,1,81,35.16,8,1,Indicação,Sudeste,0
CLI00162,2022-12-08,Enterprise,37,5,0,0,60,32.11,0,1,Google Ads,Centro-Oeste,0
CLI00163,2025-01-20,Pro,11,1,5,3,33,14.43,6,1,Google Ads,Sudeste,1
CLI00164,2024-04-19,Enterprise,20,1,1,1,65,36.64,2,0,Indicação,Centro-Oeste,0
CLI00165,2022-11-15,Pro,38,4,0,0,98,19.45,3,0,Inbound,Sudeste,0
CLI00166,2022-11-28,Pro,37,3,4,2,56,39.77,1,0,Indicação,Nordeste,0
CLI00167,2023-08-27,Pro,28,3,1,1,85,29.24,1,0,Google Ads,Nordeste,0
CLI00168,2025-01-01,Pro,12,1,4,1,50,10.45,31,1,Google Ads,Nordeste,1
CLI00169,2024-09-17,Pro,15,2,1,0,82,31.23,2,0,Indicação,Nordeste,0
CLI00170,2021-01-29,Starter,59,1,1,1,56,38.09,1,0,Evento,Sul,0
CLI00171,2023-01-25,Pro,35,4,1,1,97,34.43,3,0,Indicação,Nordeste,0
CLI00172,2022-06-18,Pro,43,2,1,1,70,36.14,3,0,Indicação,Sudeste,0
CLI00173,2021-06-10,Starter,55,1,2,2,69,34.63,5,0,Indicação,Nordeste,0
CLI00174,2024-12-24,Starter,12,1,4,2,26,5.67,7,1,Google Ads,Centro-Oeste,1
CLI00175,2025-08-23,Enterprise,4,2,4,0,15,0.5,2,1,Evento,Sudeste,1
CLI00176,2024-09-04,Pro,16,3,2,1,74,30.53,1,0,Google Ads,Sudeste,0
CLI00177,2024-03-25,Starter,21,2,1,0,35,5.89,5,1,LinkedIn,Sudeste,1
CLI00178,2024-04-19,Pro,20,2,7,2,58,10.91,18,0,Google Ads,Sul,1
CLI00179,2025-04-23,Pro,8,1,8,6,47,8.53,21,0,Evento,Centro-Oeste,1
CLI00180,2022-06-19,Pro,43,3,1,1,82,35.69,1,0,Evento,Nordeste,0
CLI00181,2023-09-17,Pro,27,1,0,0,61,30.44,1,0,Evento,Nordeste,0
CLI00182,2025-03-04,Starter,10,1,5,4,49,8.76,8,0,Google Ads,Nordeste,1
CLI00183,2022-05-24,Enterprise,43,2,0,0,86,33.75,3,0,Indicação,Sudeste,0
CLI00184,2024-08-05,Pro,17,3,1,1,96,44.26,3,0,LinkedIn,Sudeste,0
CLI00185,2025-11-02,Starter,1,2,0,0,84,21.65,0,0,Evento,Centro-Oeste,0
CLI00186,2024-08-30,Pro,16,3,5,1,47,8.52,21,0,LinkedIn,Nordeste,1
CLI00187,2023-10-14,Pro,26,1,1,1,68,16.39,9,0,Evento,Sul,0
CLI00188,2023-05-05,Pro,32,3,0,0,41,51.69,1,0,LinkedIn,Sudeste,0
CLI00189,2025-04-19,Starter,8,2,7,2,21,0.5,4,1,LinkedIn,Sul,1
CLI00190,2024-09-13,Starter,15,1,1,1,64,31.27,1,0,Google Ads,Nordeste,0
CLI00191,2025-02-11,Pro,10,4,1,1,83,36.59,1,1,Google Ads,Sudeste,0
CLI00192,2025-09-08,Enterprise,3,2,3,1,44,11.61,4,0,Indicação,Norte,1
CLI00193,2025-02-14,Starter,10,2,4,1,19,8.55,16,1,Indicação,Centro-Oeste,1
CLI00194,2023-04-27,Enterprise,32,3,1,1,61,25.36,2,1,Inbound,Sul,0
CLI00195,2023-02-22,Pro,34,4,1,1,86,33.06,5,1,LinkedIn,Nordeste,0
CLI00196,2024-07-04,Enterprise,18,1,1,1,78,12.62,3,1,Indicação,Centro-Oeste,0
CLI00197,2023-06-16,Starter,30,2,1,1,90,21.87,2,1,Indicação,Sul,0
CLI00198,2022-08-01,Pro,41,1,1,1,67,23.85,2,0,Indicação,Nordeste,0
CLI00199,2025-10-19,Starter,2,5,7,3,68,1.81,14,0,Google Ads,Sudeste,1
CLI00200,2024-12-26,Pro,12,3,4,2,18,7.71,8,0,Google Ads,Sudeste,1
CLI00201,2022-11-02,Starter,38,2,0,0,56,15.47,7,1,Google Ads,Nordeste,0
CLI00202,2022-03-23,Starter,45,2,2,1,37,29.67,1,1,Inbound,Sudeste,0
CLI00203,2023-06-03,Pro,31,3,1,0,58,31.06,1,0,Indicação,Norte,0
CLI00204,2024-07-30,Starter,17,3,2,2,89,22.96,2,0,Evento,Nordeste,0
CLI00205,2024-08-28,Pro,16,4,0,0,70,34.94,1,0,Google Ads,Norte,0
CLI00206,2021-10-22,Enterprise,51,3,1,1,64,20.18,1,1,Inbound,Centro-Oeste,0
CLI00207,2024-03-15,Enterprise,21,5,2,2,81,28.22,5,0,Indicação,Norte,0
CLI00208,2022-01-14,Starter,48,1,0,0,63,40.79,1,0,Indicação,Sudeste,0
CLI00209,2024-05-29,Starter,19,1,3,1,8,7.36,10,1,Evento,Sudeste,1
CLI00210,2023-04-13,Enterprise,33,4,3,3,80,36.07,1,0,Google Ads,Norte,0
CLI00211,2025-06-01,Starter,7,2,4,3,93,38.28,1,0,Indicação,Nordeste,0
CLI00212,2025-02-07,Starter,10,1,2,2,59,42.18,10,0,Inbound,Centro-Oeste,0
CLI00213,2025-01-10,Pro,11,2,3,2,88,3.61,12,1,Inbound,Nordeste,1
CLI00214,2023-03-15,Starter,34,1,2,2,75,18.11,1,1,LinkedIn,Nordeste,0
CLI00215,2025-05-18,Pro,7,3,0,0,68,16.3,3,0,Inbound,Centro-Oeste,0
CLI00216,2024-04-18,Enterprise,20,4,1,1,46,45.89,3,0,Indicação,Nordeste,0
CLI00217,2023-10-05,Pro,27,3,1,1,71,21.29,2,0,Evento,Sudeste,0
CLI00218,2024-04-13,Enterprise,20,1,2,1,40,4.62,10,1,Google Ads,Sudeste,1
CLI00219,2022-09-20,Enterprise,39,2,1,1,81,36.85,0,0,Indicação,Sudeste,0
CLI00220,2022-04-16,Pro,45,2,1,1,48,32.36,1,0,Google Ads,Centro-Oeste,0
CLI00221,2022-02-24,Starter,46,4,1,1,99,36.28,1,0,Indicação,Nordeste,0
CLI00222,2023-06-07,Pro,31,5,5,4,76,27.58,6,0,Google Ads,Sudeste,0
CLI00223,2024-11-25,Starter,13,2,7,3,70,4.93,15,1,Inbound,Nordeste,1
CLI00224,2024-02-16,Pro,22,1,2,1,37,10.0,11,0,Google Ads,Norte,1
CLI00225,2024-08-07,Starter,17,1,3,0,50,0.5,10,0,Inbound,Nordeste,1
CLI00226,2023-10-10,Starter,27,3,0,0,66,50.96,2,0,Google Ads,Sudeste,0
CLI00227,2023-03-29,Starter,33,3,2,2,88,44.48,1,0,Indicação,Nordeste,0
CLI00228,2023-09-10,Starter,28,1,0,0,96,15.35,0,0,Indicação,Sul,0
CLI00229,2022-07-24,Enterprise,41,2,2,1,74,33.6,5,1,Google Ads,Nordeste,0
CLI00230,2021-09-29,Enterprise,51,3,2,2,87,28.15,0,1,LinkedIn,Sudeste,0
CLI00231,2024-01-31,Pro,23,1,2,2,59,42.21,1,1,Inbound,Nordeste,0
CLI00232,2023-04-26,Enterprise,32,4,1,0,64,13.37,2,0,Indicação,Norte,0
CLI00233,2024-08-02,Starter,17,2,2,1,82,29.23,0,0,Evento,Sudeste,0
CLI00234,2024-08-21,Starter,16,1,6,3,50,4.07,16,0,LinkedIn,Sudeste,1
CLI00235,2020-11-28,Starter,61,2,1,1,71,25.01,4,1,Google Ads,Sudeste,0
CLI00236,2023-12-10,Starter,25,1,0,0,64,31.82,1,0,Google Ads,Nordeste,0
CLI00237,2024-11-28,Starter,13,1,3,2,60,13.06,4,1,Evento,Sudeste,1
CLI00238,2025-10-14,Enterprise,2,1,1,0,21,12.05,10,0,Evento,Nordeste,1
CLI00239,2022-08-31,Enterprise,40,2,1,1,73,49.37,7,1,LinkedIn,Sul,0
CLI00240,2022-09-02,Pro,40,1,3,3,55,48.87,0,0,Google Ads,Norte,0
CLI00241,2023-02-13,Starter,35,4,1,1,73,35.46,1,1,Indicação,Sudeste,0
CLI00242,2024-08-26,Starter,16,1,1,1,71,20.08,2,0,Inbound,Sul,0
CLI00243,2023-08-10,Enterprise,29,4,0,0,98,45.76,3,0,Indicação,Nordeste,0
CLI00244,2023-01-26,Pro,35,3,0,0,64,23.49,1,0,LinkedIn,Sudeste,0
CLI00245,2023-01-24,Pro,35,2,0,0,91,35.43,3,0,Indicação,Sudeste,0
CLI00246,2023-05-02,Starter,32,2,1,1,82,26.47,0,0,Evento,Sudeste,0
CLI00247,2024-06-07,Enterprise,19,4,3,2,72,9.55,1,0,Google Ads,Sul,0
CLI00248,2022-12-25,Enterprise,36,3,2,1,81,24.89,3,0,Evento,Centro-Oeste,0
CLI00249,2022-10-30,Starter,38,2,0,0,100,26.82,1,0,Evento,Sudeste,0
CLI00250,2024-05-17,Starter,19,2,3,3,77,26.63,1,0,Google Ads,Nordeste,0
CLI00251,2024-07-21,Pro,17,3,3,3,79,59.27,0,0,Indicação,Centro-Oeste,0
CLI00252,2023-03-09,Starter,34,3,0,0,100,32.66,2,0,Inbound,Sudeste,0
CLI00253,2023-05-10,Starter,32,3,1,1,83,11.4,5,0,Inbound,Sudeste,0
CLI00254,2024-05-05,Starter,20,4,2,0,40,14.59,22,0,Google Ads,Nordeste,1
CLI00255,2025-11-27,Pro,1,1,2,0,25,17.26,9,0,Indicação,Sudeste,1
CLI00256,2023-03-22,Starter,33,1,6,2,33,17.85,15,1,Google Ads,Sul,1
CLI00257,2023-12-09,Enterprise,25,2,1,1,77,22.47,3,0,Inbound,Sul,0
CLI00258,2025-02-05,Pro,10,1,3,2,44,13.42,17,1,LinkedIn,Nordeste,1
CLI00259,2023-11-03,Pro,26,1,0,0,48,36.58,4,0,LinkedIn,Norte,0
CLI00260,2023-02-06,Starter,35,1,3,2,54,24.59,1,0,LinkedIn,Sudeste,0
CLI00261,2021-07-08,Enterprise,54,2,2,1,62,27.98,4,0,Google Ads,Sudeste,0
CLI00262,2025-08-02,Pro,5,1,2,1,29,15.62,14,0,Inbound,Sudeste,1
CLI00263,2024-11-15,Pro,13,1,5,3,85,48.09,3,0,Indicação,Sudeste,0
CLI00264,2020-11-26,Starter,62,5,2,2,80,36.0,2,0,Google Ads,Centro-Oeste,0
CLI00265,2021-03-18,Pro,58,2,1,0,97,33.24,3,0,Google Ads,Centro-Oeste,0
CLI00266,2022-10-11,Pro,39,1,1,0,57,17.15,0,0,Inbound,Sudeste,0
CLI00267,2024-03-08,Starter,22,3,1,0,85,33.7,3,1,Indicação,Nordeste,0
CLI00268,2025-11-16,Pro,1,2,1,1,0,12.48,2,0,LinkedIn,Nordeste,1
CLI00269,2025-02-26,Starter,10,2,2,2,91,22.22,2,0,LinkedIn,Nordeste,0
CLI00270,2023-05-21,Pro,31,4,0,0,68,24.79,1,1,Inbound,Centro-Oeste,0
CLI00271,2024-06-08,Starter,19,1,6,1,17,1.65,12,0,Google Ads,Norte,1
CLI00272,2022-04-18,Pro,45,4,3,3,80,12.95,3,1,Evento,Sudeste,0
CLI00273,2025-03-31,Enterprise,9,4,2,2,83,16.3,3,0,Evento,Sudeste,0
CLI00274,2023-10-26,Starter,26,1,3,2,19,12.79,36,0,Inbound,Sudeste,1
CLI00275,2024-04-24,Pro,20,1,6,3,46,6.32,4,1,Inbound,Nordeste,1
CLI00276,2024-07-25,Starter,17,1,4,2,10,12.98,13,1,Inbound,Norte,1
CLI00277,2025-02-21,Pro,10,2,1,1,55,39.55,3,0,Google Ads,Centro-Oeste,0
CLI00278,2023-12-15,Pro,24,1,0,0,88,21.73,4,0,Indicação,Norte,0
CLI00279,2022-11-30,Starter,37,3,0,0,92,23.07,1,1,Google Ads,Centro-Oeste,0
CLI00280,2025-10-05,Pro,2,2,1,0,52,13.72,8,0,Google Ads,Sudeste,1
CLI00281,2022-11-06,Starter,38,2,1,0,84,30.77,0,0,Evento,Sudeste,0
CLI00282,2020-12-04,Pro,61,1,3,1,92,23.94,1,0,Inbound,Sul,0
CLI00283,2023-10-04,Enterprise,27,5,0,0,65,31.8,1,0,Google Ads,Sudeste,0
